VJAVKW_DT,yhat,lower,upper
2023-11-20,29989.43367559282,11357.722179224133,48621.14517196151
2023-11-27,26233.37249251263,7535.097088096882,44931.64789692838
2023-12-04,26876.819481225095,8112.21629024767,45641.42267220252
2023-12-11,23119.91261489706,4289.215263755195,41950.60996603893
2023-12-18,17275.308253536306,-1621.2520828254928,36171.868589898106
2023-12-25,10864.231983767826,-8097.962571747703,29826.426539283355
2024-01-01,19280.583986994934,-1336.5623537523898,39897.73032774226
2024-01-08,26697.409606173576,5398.2638752933635,47996.55533705379
2024-01-15,30005.561963240554,8347.548633860937,51663.57529262017
2024-01-22,29093.93132571094,7201.987286913041,50985.875364508836
2024-01-29,28073.648609091095,6001.845698606998,50145.45151957519
2024-02-05,29630.566956940682,7404.32819996155,51856.80571391981
2024-02-12,30385.704140094556,8017.738748231925,52753.66953195719
2024-02-19,30894.592353489286,8391.598656958115,53397.58605002046
2024-02-26,30289.139324324384,7654.86010086774,52923.418547781024
2024-03-04,30381.510125751465,7618.2001948363795,53144.82005666655
2024-03-11,30142.32371645258,7251.47717330253,53033.17025960263
2024-03-18,29931.46873077925,6914.185683459804,52948.7517780987
2024-03-25,29196.288678509718,6053.461999313298,52339.115357706134
2024-04-01,27736.103782643735,4468.514747820129,51003.69281746734
2024-04-08,30122.570149255876,6730.937611767593,53514.20268674416
2024-04-15,26559.408972370242,3044.4147410359656,50074.40320370452
2024-04-22,29663.84060197496,6026.142609444563,53301.53859450536
2024-04-29,28832.95428470092,5073.19347944219,52592.71508995965
2024-05-06,30209.95164380901,6328.755652554693,54091.14763506333
2024-05-13,27979.472212129196,3977.457337956519,51981.48708630187
2024-05-20,24767.509183121096,645.2815437785466,48889.736822463645
2024-05-27,28230.390508729113,3988.5467290393244,52472.2342884189
2024-06-03,26428.049759337246,2067.1774306292464,50788.92208804525
2024-06-10,25712.895307167044,1233.5733234069448,50192.21729092715
2024-06-17,27260.84776299597,2663.646590167813,51858.04893582413
2024-06-24,27629.650786073074,2915.1326940377185,52344.16887810843
2024-07-01,24888.47883243755,57.198104437564325,49719.75956043754
2024-07-08,25099.73215971491,152.23528745503063,50047.229031974784
2024-07-15,25555.23631155623,492.06218005935443,50618.4104430531
2024-07-22,24536.872226508127,-641.4477089778447,49715.1921619941
2024-07-29,21341.022477533144,-3951.919066231625,46633.964021297914
2024-08-05,21537.2117247981,-3869.8343267428427,46944.25777633904
2024-08-12,22771.65787692054,-2748.9825181884444,48292.298272029526
2024-08-19,25918.986944752407,285.2555878317253,51552.718301673085
2024-08-26,26187.530951664776,441.205381276759,51933.856522052796
2024-09-02,26206.01643581083,347.58691134750916,52064.445960274155
2024-09-09,26656.738727207005,686.6891591833155,52626.7882952307
2024-09-16,26817.45655035794,736.2646362806154,52898.64846443526
2024-09-23,25765.45234550071,-426.4102983038174,51957.31498930524
2024-09-30,26886.67353314207,584.605822698828,53188.74124358532
2024-10-07,28406.793182285735,1994.980239258337,54818.606125313134
2024-10-14,26846.951095017357,325.84704503195826,53368.055145002756
2024-10-21,24782.613859007113,-1847.3327635982423,51412.56048161247
2024-10-28,25632.628303628837,-1105.717834744355,52370.97444200203
2024-11-04,28213.82061003024,1367.5126458408959,55060.12857421959
2024-11-11,28919.042705051324,1965.205345581846,55872.8800645208
2024-11-18,28654.814651764806,1593.8751726305454,55715.75413089906
2024-11-25,25864.401108219346,-1303.2182682737148,53032.02048471241
2024-12-02,26342.423990259926,-931.4580157661803,53616.30599628603
2024-12-09,23551.382180593853,-3828.350045475625,50931.11440666333
2024-12-16,19209.370064265233,-8275.80473714181,46694.54486567227
2024-12-23,14446.520584482729,-13143.693821290446,42036.73499025591
