VJAVKW_DT,VJAVKW,TTOKM
2011-07-04,201127,35654.0
2011-07-11,201128,37923.0
2011-07-18,201129,37043.0
2011-07-25,201130,34266.0
2011-08-01,201131,28821.0
2011-08-08,201132,26303.0
2011-08-15,201133,25838.0
2011-08-22,201134,32056.0
2011-08-29,201135,34469.0
2011-09-05,201136,34690.0
2011-09-12,201137,35912.0
2011-09-19,201138,35164.0
2011-09-26,201139,35649.0
2011-10-03,201140,34717.0
2011-10-10,201141,36997.0
2011-10-17,201142,34753.0
2011-10-24,201143,32996.0
2011-10-31,201144,30198.0
2011-11-07,201145,41853.0
2011-11-14,201146,41384.0
2011-11-21,201147,41771.0
2011-11-28,201148,44552.0
2011-12-05,201149,37886.0
2011-12-12,201150,44048.0
2011-12-19,201151,34283.0
2011-12-26,201152,5823.0
2012-01-02,201201,10279.0
2012-01-09,201202,33210.0
2012-01-16,201203,38998.0
2012-01-23,201204,42283.0
2012-01-30,201205,39230.0
2012-02-06,201206,35961.0
2012-02-13,201207,38295.0
2012-02-20,201208,39512.0
2012-02-27,201209,40035.0
2012-03-05,201210,39567.0
2012-03-12,201211,40520.0
2012-03-19,201212,40940.0
2012-03-26,201213,46175.0
2012-04-02,201214,42200.0
2012-04-09,201215,35371.0
2012-04-16,201216,42371.0
2012-04-23,201217,41304.0
2012-04-30,201218,32129.0
2012-05-07,201219,41035.0
2012-05-14,201220,34871.0
2012-05-21,201221,40736.0
2012-05-28,201222,35265.0
2012-06-04,201223,34737.0
2012-06-11,201224,38104.0
2012-06-18,201225,39018.0
2012-06-25,201226,35174.0
2012-07-02,201227,34094.0
2012-07-09,201228,36419.0
2012-07-16,201229,35707.0
2012-07-23,201230,34211.0
2012-07-30,201231,29698.0
2012-08-06,201232,28435.0
2012-08-13,201233,21771.0
2012-08-20,201234,34085.0
2012-08-27,201235,31959.0
2012-09-03,201236,34949.0
2012-09-10,201237,35724.0
2012-09-17,201238,34742.0
2012-09-24,201239,36466.0
2012-10-01,201240,35653.0
2012-10-08,201241,38081.0
2012-10-15,201242,39107.0
2012-10-22,201243,33451.0
2012-10-29,201244,32126.0
2012-11-05,201245,35954.0
2012-11-12,201246,38839.0
2012-11-19,201247,41077.0
2012-11-26,201248,42848.0
2012-12-03,201249,35208.0
2012-12-10,201250,39066.0
2012-12-17,201251,32389.0
2012-12-24,201252,1993.0
2013-01-07,201301,9705.0
2013-01-14,201302,32220.0
2013-01-21,201303,32643.0
2013-01-28,201304,39816.0
2013-02-04,201305,39125.0
2013-02-11,201306,40860.0
2013-02-18,201307,38638.0
2013-02-25,201308,44944.0
2013-03-04,201309,43290.0
2013-03-11,201310,37602.0
2013-03-18,201311,39117.0
2013-03-25,201312,44287.0
2013-04-01,201313,38417.0
2013-04-08,201314,27945.0
2013-04-15,201315,40268.0
2013-04-22,201316,42767.0
2013-04-29,201317,41408.0
2013-05-06,201318,38114.0
2013-05-13,201319,36729.0
2013-05-20,201320,45554.0
2013-05-27,201321,42190.0
2013-06-03,201322,37575.0
2013-06-10,201323,36514.0
2013-06-17,201324,40852.0
2013-06-24,201325,40824.0
2013-07-01,201326,42119.0
2013-07-08,201327,39594.0
2013-07-15,201328,40867.0
2013-07-22,201329,40110.0
2013-07-29,201330,39722.0
2013-08-05,201331,31327.0
2013-08-12,201332,29961.0
2013-08-19,201333,26484.0
2013-08-26,201334,36921.0
2013-09-02,201335,33381.0
2013-09-09,201336,38966.0
2013-09-16,201337,39385.0
2013-09-23,201338,39442.0
2013-09-30,201339,41360.0
2013-10-07,201340,41073.0
2013-10-14,201341,40079.0
2013-10-21,201342,40870.0
2013-10-28,201343,42584.0
2013-11-04,201344,35155.0
2013-11-11,201345,45176.0
2013-11-18,201346,42789.0
2013-11-25,201347,41655.0
2013-12-02,201348,41459.0
2013-12-09,201349,42148.0
2013-12-16,201350,46630.0
2013-12-23,201351,32795.0
2013-12-30,201352,4787.0
2014-01-06,201401,4533.0
2014-01-13,201402,25294.0
2014-01-20,201403,41915.0
2014-01-27,201404,41604.0
2014-02-03,201405,41959.0
2014-02-10,201406,32493.0
2014-02-17,201407,44448.0
2014-02-24,201408,48337.0
2014-03-03,201409,46289.0
2014-03-10,201410,48183.0
2014-03-17,201411,48339.0
2014-03-24,201412,49772.0
2014-03-31,201413,39874.0
2014-04-07,201414,44042.0
2014-04-14,201415,39564.0
2014-04-21,201416,39819.0
2014-04-28,201417,30361.0
2014-05-05,201418,34532.0
2014-05-12,201419,42015.0
2014-05-19,201420,42736.0
2014-05-26,201421,40128.0
2014-06-02,201422,37809.0
2014-06-09,201423,40574.0
2014-06-16,201424,40194.0
2014-06-23,201425,36389.0
2014-06-30,201426,42342.0
2014-07-07,201427,40052.0
2014-07-14,201428,39516.0
2014-07-21,201429,34650.0
2014-07-28,201430,33291.0
2014-08-04,201431,25674.0
2014-08-11,201432,21191.0
2014-08-18,201433,22748.0
2014-08-25,201434,31697.0
2014-09-01,201435,34087.0
2014-09-08,201436,31068.0
2014-09-15,201437,35509.0
2014-09-22,201438,33769.0
2014-09-29,201439,29548.0
2014-10-06,201440,33211.0
2014-10-13,201441,35975.0
2014-10-20,201442,34918.0
2014-10-27,201443,33662.0
2014-11-03,201444,31795.0
2014-11-10,201445,40403.0
2014-11-17,201446,36943.0
2014-11-24,201447,33287.0
2014-12-01,201448,37666.0
2014-12-08,201449,33951.0
2014-12-15,201450,31801.0
2014-12-22,201451,31573.0
2014-12-29,201452,4266.0
2015-01-05,201501,2343.0
2015-01-12,201502,14434.0
2015-01-19,201503,37902.0
2015-01-26,201504,37879.0
2015-02-02,201505,36881.0
2015-02-09,201506,31370.0
2015-02-16,201507,34693.0
2015-02-23,201508,40370.0
2015-03-02,201509,36466.0
2015-03-09,201510,36579.0
2015-03-16,201511,40786.0
2015-03-23,201512,39132.0
2015-03-30,201513,41447.0
2015-04-06,201514,33093.0
2015-04-13,201515,32298.0
2015-04-20,201516,40819.0
2015-04-27,201517,39412.0
2015-05-04,201518,27633.0
2015-05-11,201519,38213.0
2015-05-18,201520,28240.0
2015-05-25,201521,34201.0
2015-06-01,201522,31107.0
2015-06-08,201523,32870.0
2015-06-15,201524,33185.0
2015-06-22,201525,35360.0
2015-06-29,201526,33281.0
2015-07-06,201527,30505.0
2015-07-13,201528,30181.0
2015-07-20,201529,31773.0
2015-07-27,201530,25800.0
2015-08-03,201531,23400.0
2015-08-10,201532,19973.0
2015-08-17,201533,22785.0
2015-08-24,201534,31541.0
2015-08-31,201535,34421.0
2015-09-07,201536,38381.0
2015-09-14,201537,37329.0
2015-09-21,201538,31095.0
2015-09-28,201539,33441.0
2015-10-05,201540,33398.0
2015-10-12,201541,36084.0
2015-10-19,201542,33912.0
2015-10-26,201543,35020.0
2015-11-02,201544,29627.0
2015-11-09,201545,40531.0
2015-11-16,201546,44006.0
2015-11-23,201547,46310.0
2015-11-30,201548,40420.0
2015-12-07,201549,37451.0
2015-12-14,201550,42865.0
2015-12-21,201551,37796.0
2015-12-28,201552,11979.0
2016-01-04,201553,4308.0
2016-01-04,201601,15485.0
2016-01-11,201602,35745.0
2016-01-18,201603,40280.0
2016-01-25,201604,34364.0
2016-02-01,201605,39093.0
2016-02-08,201606,35260.0
2016-02-15,201607,33621.0
2016-02-22,201608,29365.0
2016-02-29,201609,32794.0
2016-03-07,201610,29830.0
2016-03-14,201611,32223.0
2016-03-21,201612,36147.0
2016-03-28,201613,28604.0
2016-04-04,201614,36337.0
2016-04-11,201615,38675.0
2016-04-18,201616,40555.0
2016-04-25,201617,37340.0
2016-05-02,201618,31264.0
2016-05-09,201619,36603.0
2016-05-16,201620,30623.0
2016-05-23,201621,29520.0
2016-05-30,201622,33338.0
2016-06-06,201623,36812.0
2016-06-13,201624,34366.0
2016-06-20,201625,34212.0
2016-06-27,201626,30688.0
2016-07-04,201627,29490.0
2016-07-11,201628,29632.0
2016-07-18,201629,32324.0
2016-07-25,201630,29454.0
2016-08-01,201631,28009.0
2016-08-08,201632,29843.0
2016-08-15,201633,25332.0
2016-08-22,201634,34503.0
2016-08-29,201635,40280.0
2016-09-05,201636,39794.0
2016-09-12,201637,39900.0
2016-09-19,201638,39262.0
2016-09-26,201639,37536.0
2016-10-03,201640,36018.0
2016-10-10,201641,38642.0
2016-10-17,201642,37004.0
2016-10-24,201643,28957.0
2016-10-31,201644,34284.0
2016-11-07,201645,35902.0
2016-11-14,201646,35425.0
2016-11-21,201647,36520.0
2016-11-28,201648,39457.0
2016-12-05,201649,34694.0
2016-12-12,201650,37519.0
2016-12-19,201651,26547.0
2016-12-26,201652,8818.0
2017-01-02,201653,22.0
2017-01-02,201701,14410.0
2017-01-09,201702,31638.0
2017-01-16,201703,35758.0
2017-01-23,201704,35324.0
2017-01-30,201705,32405.0
2017-02-06,201706,33363.0
2017-02-13,201707,33832.0
2017-02-20,201708,36233.0
2017-02-27,201709,35635.0
2017-03-06,201710,37557.0
2017-03-13,201711,34755.0
2017-03-20,201712,38913.0
2017-03-27,201713,38803.0
2017-04-03,201714,36601.0
2017-04-10,201715,36834.0
2017-04-17,201716,28633.0
2017-04-24,201717,36281.0
2017-05-01,201718,30255.0
2017-05-08,201719,38363.0
2017-05-15,201720,37677.0
2017-05-22,201721,30241.0
2017-05-29,201722,31898.0
2017-06-05,201723,28421.0
2017-06-12,201724,32665.0
2017-06-19,201725,31754.0
2017-06-26,201726,33282.0
2017-07-03,201727,33852.0
2017-07-10,201728,33628.0
2017-07-17,201729,32951.0
2017-07-24,201730,30949.0
2017-07-31,201731,26156.0
2017-08-07,201732,24083.0
2017-08-14,201733,22920.0
2017-08-21,201734,32060.0
2017-08-28,201735,36399.0
2017-09-04,201736,32922.0
2017-09-11,201737,38316.0
2017-09-18,201738,35237.0
2017-09-25,201739,33838.0
2017-10-02,201740,31453.0
2017-10-09,201741,40890.0
2017-10-16,201742,41363.0
2017-10-23,201743,31591.0
2017-10-30,201744,33068.0
2017-11-06,201745,38227.0
2017-11-13,201746,42662.0
2017-11-20,201747,36759.0
2017-11-27,201748,38181.0
2017-12-04,201749,30569.0
2017-12-11,201750,35483.0
2017-12-18,201751,22021.0
2017-12-25,201752,5007.0
2018-01-01,201801,13397.0
2018-01-08,201802,29641.0
2018-01-15,201803,39057.0
2018-01-22,201804,39528.0
2018-01-29,201805,40461.0
2018-02-05,201806,40838.0
2018-02-12,201807,39124.0
2018-02-19,201808,40486.0
2018-02-26,201809,38063.0
2018-03-05,201810,39847.0
2018-03-12,201811,40877.0
2018-03-19,201812,44692.0
2018-03-26,201813,40379.0
2018-04-02,201814,35296.0
2018-04-09,201815,42000.0
2018-04-16,201816,45756.0
2018-04-23,201817,42312.0
