VJAVKW_DT,VJAVKW,TTOKM
2009-12-21,200951,38226.0
2009-12-28,200952,19369.0
2010-01-04,201001,28841.0
2010-01-04,200953,13867.0
2010-01-11,201002,38105.0
2010-01-18,201003,42111.0
2010-01-25,201004,42114.0
2010-02-01,201005,38166.0
2010-02-08,201006,40582.0
2010-02-15,201007,38052.0
2010-02-22,201008,42200.0
2010-03-01,201009,43666.0
2010-03-08,201010,46742.0
2010-03-15,201011,51051.0
2010-03-22,201012,46901.0
2010-03-29,201013,48999.0
2010-04-05,201014,44322.0
2010-04-12,201015,58612.0
2010-04-19,201016,61167.0
2010-04-26,201017,55897.0
2010-05-03,201018,57863.0
2010-05-10,201019,49048.0
2010-05-17,201020,66566.0
2010-05-24,201021,57156.0
2010-05-31,201022,58808.0
2010-06-07,201023,60872.0
2010-06-14,201024,64906.0
2010-06-21,201025,68396.0
2010-06-28,201026,63320.0
2010-07-05,201027,56382.0
2010-07-12,201028,58101.0
2010-07-19,201029,53824.0
2010-07-26,201030,48898.0
2010-08-02,201031,47286.0
2010-08-09,201032,46017.0
2010-08-16,201033,42651.0
2010-08-23,201034,48111.0
2010-08-30,201035,48224.0
2010-09-06,201036,48039.0
2010-09-13,201037,52098.0
2010-09-20,201038,58317.0
2010-09-27,201039,58078.0
2010-10-04,201040,57361.0
2010-10-11,201041,59631.0
2010-10-18,201042,55519.0
2010-10-25,201043,56948.0
2010-11-01,201044,52181.0
2010-11-08,201045,54303.0
2010-11-15,201046,56312.0
2010-11-22,201047,56843.0
2010-11-29,201048,50680.0
2010-12-06,201049,49554.0
2010-12-13,201050,48211.0
2010-12-20,201051,31960.0
2010-12-27,201052,18672.0
2011-01-03,201053,4961.0
2011-01-03,201101,37996.0
2011-01-10,201102,45155.0
2011-01-17,201103,53900.0
2011-01-24,201104,58822.0
2011-01-31,201105,54228.0
2011-02-07,201106,50851.0
2011-02-14,201107,53901.0
2011-02-21,201108,49150.0
2011-02-28,201109,52036.0
2011-03-07,201110,55530.0
2011-03-14,201111,62980.0
2011-03-21,201112,63665.0
2011-03-28,201113,65467.0
2011-04-04,201114,62077.0
2011-04-11,201115,68056.0
2011-04-18,201116,62931.0
2011-04-25,201117,58109.0
2011-05-02,201118,61193.0
2011-05-09,201119,63023.0
2011-05-16,201120,64566.0
2011-05-23,201121,66051.0
2011-05-30,201122,60141.0
2011-06-06,201123,55957.0
2011-06-13,201124,54381.0
2011-06-20,201125,64296.0
2011-06-27,201126,64833.0
2011-07-04,201127,61139.0
2011-07-11,201128,62330.0
2011-07-18,201129,69401.0
2011-07-25,201130,65709.0
2011-08-01,201131,58221.0
2011-08-08,201132,58792.0
2011-08-15,201133,58018.0
2011-08-22,201134,63567.0
2011-08-29,201135,58610.0
2011-09-05,201136,56961.0
2011-09-12,201137,61109.0
2011-09-19,201138,59435.0
2011-09-26,201139,60898.0
2011-10-03,201140,56633.0
2011-10-10,201141,55981.0
2011-10-17,201142,58811.0
2011-10-24,201143,56060.0
2011-10-31,201144,54711.0
2011-11-07,201145,58110.0
2011-11-14,201146,58946.0
2011-11-21,201147,61954.0
2011-11-28,201148,61584.0
2011-12-05,201149,50185.0
2011-12-12,201150,56951.0
2011-12-19,201151,40949.0
2011-12-26,201152,27609.0
2012-01-02,201201,44974.0
2012-01-09,201202,53578.0
2012-01-16,201203,58756.0
2012-01-23,201204,62301.0
2012-01-30,201205,46119.0
2012-02-06,201206,41309.0
2012-02-13,201207,45558.0
2012-02-20,201208,53479.0
2012-02-27,201209,57081.0
2012-03-05,201210,47696.0
2012-03-12,201211,60313.0
2012-03-19,201212,59147.0
2012-03-26,201213,59735.0
2012-04-02,201214,59709.0
2012-04-09,201215,59858.0
2012-04-16,201216,67757.0
2012-04-23,201217,68129.0
2012-04-30,201218,54143.0
2012-05-07,201219,64824.0
2012-05-14,201220,59345.0
2012-05-21,201221,65348.0
2012-05-28,201222,65566.0
2012-06-04,201223,60995.0
2012-06-11,201224,66347.0
2012-06-18,201225,65885.0
2012-06-25,201226,72559.0
2012-07-02,201227,58561.0
2012-07-09,201228,67231.0
2012-07-16,201229,63443.0
2012-07-23,201230,62325.0
2012-07-30,201231,58731.0
2012-08-06,201232,53616.0
2012-08-13,201233,51385.0
2012-08-20,201234,53767.0
2012-08-27,201235,54290.0
2012-09-03,201236,52748.0
2012-09-10,201237,62259.0
2012-09-17,201238,64613.0
2012-09-24,201239,56871.0
2012-10-01,201240,54161.0
2012-10-08,201241,58474.0
2012-10-15,201242,57293.0
2012-10-22,201243,53636.0
2012-10-29,201244,47497.0
2012-11-05,201245,52244.0
2012-11-12,201246,55117.0
2012-11-19,201247,62892.0
2012-11-26,201248,57661.0
2012-12-03,201249,50517.0
2012-12-10,201250,53801.0
2012-12-17,201251,45419.0
2012-12-24,201252,21977.0
