VJAVKW_DT,yhat,lower,upper
2023-10-16,24405.18422645512,13568.93606020061,35241.43239270963
2023-10-23,24405.18422645512,13485.651820745567,35324.71663216467
2023-10-30,24405.18422645512,13402.99800743356,35407.37044547668
2023-11-06,24405.18422645512,13320.960517204443,35489.40793570579
2023-11-13,24405.18422645512,13239.525765110277,35570.84268779996
2023-11-20,24405.18422645512,13158.680658052692,35651.68779485755
2023-11-27,24405.18422645512,13078.412570207456,35731.95588270278
2023-12-04,24405.18422645512,12998.709320005612,35811.65913290463
2023-12-11,24405.18422645512,12919.559148552342,35890.8093043579
2023-12-18,24405.18422645512,12840.95069937534,35969.4177535349
2023-12-25,24405.18422645512,12762.872999403899,36047.495453506344
2024-01-01,24405.18422645512,12685.315441088545,36125.05301182169
2024-01-08,24405.18422645512,12608.267765578716,36202.10068733152
2024-01-15,24405.18422645512,12531.720046882945,36278.64840602729
2024-01-22,24405.18422645512,12455.662676942336,36354.7057759679
2024-01-29,24405.18422645512,12380.086351553757,36430.28210135648
2024-02-05,24405.18422645512,12304.98205708439,36505.38639582585
2024-02-12,24405.18422645512,12230.341057923912,36580.027394986326
2024-02-19,24405.18422645512,12156.154884624892,36654.21356828535
2024-02-26,24405.18422645512,12082.415322685776,36727.953130224465
2024-03-04,24405.18422645512,12009.114401934463,36801.254050975775
2024-03-11,24405.18422645512,11936.244386473596,36874.12406643664
2024-03-18,24405.18422645512,11863.797765151676,36946.57068775856
2024-03-25,24405.18422645512,11791.767242526766,37018.60121038347
2024-04-01,24405.18422645512,11720.145730292048,37090.22272261819
2024-04-08,24405.18422645512,11648.926339134641,37161.4421137756
2024-04-15,24405.18422645512,11578.102371001292,37232.26608190895
2024-04-22,24405.18422645512,11507.667311746316,37302.701141163925
2024-04-29,24405.18422645512,11437.614824138951,37372.75362877129
2024-05-06,24405.18422645512,11367.938741208882,37442.429711701356
2024-05-13,24405.18422645512,11298.63305991019,37511.73539300005
2024-05-20,24405.18422645512,11229.691935085239,37580.676517825
2024-05-27,24405.18422645512,11161.10967371139,37649.25877919885
2024-06-03,24405.18422645512,11092.880729414463,37717.487723495775
2024-06-10,24405.18422645512,11024.999697234016,37785.36875567622
2024-06-17,24405.18422645512,10957.461308626442,37852.907144283796
2024-06-24,24405.18422645512,10890.260426692817,37920.10802621742
2024-07-01,24405.18422645512,10823.392041619263,37986.976411290976
2024-07-08,24405.18422645512,10756.851266318368,38053.51718659187
2024-07-15,24405.18422645512,10690.633332260948,38119.73512064929
2024-07-22,24405.18422645512,10624.733585488077,38185.634867422166
2024-07-29,24405.18422645512,10559.147482793927,38251.22097011631
2024-08-05,24405.18422645512,10493.870588070617,38316.49786483962
2024-08-12,24405.18422645512,10428.898568806675,38381.469884103564
2024-08-19,24405.18422645512,10364.22719273137,38446.14126017887
2024-08-26,24405.18422645512,10299.852324597463,38510.516128312775
2024-09-02,24405.18422645512,10235.76992309557,38574.59852981467
2024-09-09,24405.18422645512,10171.976037893515,38638.39241501672
2024-09-16,24405.18422645512,10108.46680679462,38701.90164611562
2024-09-23,24405.18422645512,10045.238453009079,38765.12999990116
2024-09-30,24405.18422645512,9982.28728253301,38828.08117037723
2024-10-07,24405.18422645512,9919.609681630032,38890.758771280205
2024-10-14,24405.18422645512,9857.202114410458,38953.16633849978
2024-10-21,24405.18422645512,9795.061120503608,39015.307332406635
2024-10-28,24405.18422645512,9733.183312818794,39077.185140091446
2024-11-04,24405.18422645512,9671.565375391,39138.80307751924
2024-11-11,24405.18422645512,9610.20406130725,39200.164391602986
2024-11-18,24405.18422645512,9549.096190710117,39261.272262200124
2024-11-25,24405.18422645512,9488.238648874814,39322.12980403542
2024-12-02,24405.18422645512,9427.6283843566,39382.74006855364
2024-12-09,24405.18422645512,9367.262407205413,39443.10604570483
2024-12-16,24405.18422645512,9307.13778724474,39503.2306656655
2024-12-23,24405.18422645512,9247.251652411913,39563.11680049833
